title,date,subject,gilligan_related,url,author,section,subject_type,notes
Alan Hale Jr. And Jim Backus Had A Mini Gilligan's Island Reunion In This 1979 Action Comedy,2026-06-02T22:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2186124/alan-hale-jr-jim-backus-gilligans-island-reunion-1979-action-comedy-angels-revenge/,,,,Gilligan-related; manual review required
Gilligan's Island Fans (Almost) Unanimously Agree This Is The Sitcom's Best Character,2026-06-03T16:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2185379/gilligans-island-fans-agree-sitcom-best-character-mary-ann/,,,,Gilligan-related; manual review required
Alan Hale Jr. Had A Small Role In A Kirk Douglas Western That,2026-06-05T00:45:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2187350/alan-hale-jr-kirk-douglas-western-there-was-a-crooked-man/,,,,Gilligan-related; manual review required
Alan Hale Jr. Appeared In A War Movie That Star James Garner Absolutely Hated - SlashFilm,2026-06-06T10:45:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2187786/alan-hale-jr-war-movie-james-garner-hated-up-periscope/,,,,Gilligan-related; manual review required
Gilligan's Island Star Tina Louise Was Lied To About Her Role Before Filming,2026-06-07T19:00:00+00:00,Tina Louise,yes,https://www.slashfilm.com/2188113/gilligans-island-star-tina-louise-lie-sign-contract/,,,,Gilligan-related; manual review required
"Before Gilligan's Island, Alan Hale Jr. Starred In Clint Eastwood's Legendary Western Series",2026-06-07T21:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2187989/gilligans-island-alan-hale-jr-clint-eastwood-western-series-rawhide/,,,,Gilligan-related; manual review required
Why Now Is The Perfect Time For A Gilligan's Island Reboot Movie,2026-06-13T20:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2192796/why-now-perfect-time-gilligans-island-reboot-movie/,,,,Gilligan-related; manual review required
"Alan Hale Jr.'s Final TV Role Was In A Short-Lived Murder, She Wrote Spin-Off",2026-06-17T21:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2196124/alan-hale-jr-final-tv-show-murder-she-wrote-spin-off-the-law-and-harry-mcgraw/,,,,Gilligan-related; manual review required
Gregory Peck's Best Western Featured An Uncredited Appearance From Gilligan's Island Star Alan Hale Jr.,2026-06-21T15:00:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2182811/gregory-peck-western-the-gunfighter-gilligans-island-alan-hale-jr-role/,,,,Gilligan-related; manual review required
Russell Johnson Had A Small Role In Clint Eastwood's Western Series Rawhide,2026-06-22T00:00:00+00:00,Russell Johnson,yes,https://www.slashfilm.com/2189874/russell-johnson-role-clint-eastwood-western-series-rawhide/,,,,Gilligan-related; manual review required
Alan Hale Jr. Had A Small Role In One Of Michael Keaton's Most Underrated Movies,2026-06-23T16:30:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2199234/alan-hale-jr-michael-keaton-underrated-movie-johnny-dangerously/,,,,Gilligan-related; manual review required
Gilligan's Island Guest Star Roman Gabriel Loved One Thing About His Brief Appearance,2026-06-23T23:00:00+00:00,Gilligan's Island,yes,https://www.slashfilm.com/2198260/gilligans-island-guest-star-roman-gabriel-favorite-thing-meeting-mary-ann/,,,,Gilligan-related; manual review required
Gilligan's Island's Alan Hale Jr. Appeared In This Forgotten '70s Disney Crime Comedy,2026-06-27T10:45:00+00:00,Alan Hale Jr.,yes,https://www.slashfilm.com/2201079/gilligans-island-alan-hale-jr-forgotten-70s-crime-comedy-the-north-avenue-irregulars/,,,,Gilligan-related; manual review required
